date,shift,dispatcher,daily_ore_fed,warehouse_2_status,crushed_ore_sst,ore_to_int_bunkers,int_bunkers_status,processed_ore_mfc,processed_ore_moisture,dry_processed_ore,granodiorites,dikes,schists,pulp_density,cu_content_in_ores,adjusted_cu_content_in_ores,cu_content_in_waste,cu_metal_in_waste,cu_metal_in_concentrate,tech_extraction,load_extraction,extracted_cu_concentrate,cu_concentrate_moisture,cu_metal_in_concentrate_chem,liter_weight_in_thickener,timestamp,original_sheet
13.01.2025,1,Цвета Владова,6000.0,0.0,10244.0,10656.0,8.1,14831.0,0.083,13600,0.676,0.274,0.05,0.4,0.00256,0.0030685582058823,0.00033,4.488,37.7365308,0.87243470693194,0.893849663526568,194.0,0.094,39.3359832,1.7,2025-01-13 06:00:00,Януари 
13.01.2025,2,Димитър Цончев,20100.0,2.0,13300.0,14731.0,8.0,14710.0,0.076,13592,0.572,0.355,0.073,0.39,0.00255,0.0025976801795173,0.00033,4.48536,31.354720500000003,0.8719087028109953,0.8743105533129925,159.0,0.095,31.0093725,1.6,2025-01-13 14:00:00,Януари 
13.01.2025,3,Иванка Копаранска,15200.0,1.0,13294.0,15162.0,7.5,14678.0,0.08,13504,0.536,0.38,0.084,0.39,0.00248,0.0026693658915876,0.00032,4.321280000000001,33.006319500000004,0.8722416686080287,0.8814606937791636,165.0,0.087,32.750223000000005,1.6,2025-01-13 22:00:00,Януари 
14.01.2025,1,Цвета Владова,3500.0,0.0,12758.0,13140.0,7.8,14500.0,0.091,13181,0.625,0.294,0.081,0.39,0.00252,0.0027945876033684,0.00032,4.21792,33.160160000000005,0.874287564018081,0.8868042994230287,166.0,0.092,33.732926400000004,1.6,2025-01-14 06:00:00,Януари 
14.01.2025,2,Георги Томов,19400.0,2.0,12071.0,13150.0,8.0,14327.0,0.077,13224,0.636,0.266,0.098,0.39,0.00251,0.0027480936176648,0.00031,4.09944,33.455142,0.8777280179432143,0.888490678248632,166.0,0.086,32.90893560000001,1.6,2025-01-14 14:00:00,Януари 
14.01.2025,3,Иванка Копаранска,18000.0,0.0,12333.0,14405.0,6.2,9505.0,0.08,8745,0.67,0.276,0.054,0.37,0.00228,0.0030276878216123,0.00029,2.53605,23.361684,0.8739930633481225,0.90541629083445,120.0,0.089,25.209192,1.55,2025-01-14 22:00:00,Януари 
15.01.2025,1,Цвета Владова,3100.0,0.0,11298.0,12084.0,5.7,10762.0,0.082,9880,0.628,0.319,0.053,0.37,0.00236,0.0026976164574898,0.00028,2.7664,20.5224374,0.8826797153866156,0.8973609529960042,122.0,0.099,24.897333,1.7,2025-01-15 06:00:00,Януари 
15.01.2025,2,Георги Томов,24500.0,1.0,14042.0,15864.0,5.9,15475.0,0.079,14252,0.669,0.252,0.079,0.4,0.00266,0.0026016851810272,0.00031,4.41812,32.864349600000004,0.8847634833426891,0.8821555464623637,172.0,0.091,33.1145064,1.6,2025-01-15 14:00:00,Януари 
15.01.2025,3,Николинка Мутафова,12835.0,0.0,14570.0,15546.0,6.1,15647.0,0.082,14364,0.628,0.313,0.059,0.4,0.00272,0.0026727697577276,0.00032,4.596480000000001,34.096361400000006,0.88366755585743,0.8815972348442829,174.0,0.089,35.824164,1.58,2025-01-15 22:00:00,Януари 
16.01.2025,1,Димитър Цончев,4231.0,0.0,8719.0,9888.0,7.8,15772.0,0.078,14542,0.627,0.311,0.062,0.4,0.00272,0.0026985770870581,0.00032,4.653440000000001,35.292834,0.8836638936380569,0.8827552312651078,180.0,0.091,35.865504,1.6,2025-01-16 06:00:00,Януари 
